,index,pol,mean_sigma0,std_sigma0,mean_sigma0_dB,std_sigma0_dB
35,42589,VH,0.00037408231643295484,0.002380942096987688,,
36,9,VV,0.028297966288820555,0.015130656048921217,,
37,9,VH,0.0003787583942155504,0.0016557097036076674,,
38,42591,VV,0.036379529847914906,0.019584408345749236,,
39,42591,VH,0.00027211533198032465,0.002385060396025169,,
40,10,VV,0.02000102766906619,0.01102754372218059,,
41,10,VH,0.00024521763402793627,0.0015786016655079654,,
42,42594,VV,0.0387491239824712,0.020352374013844526,,
43,42594,VH,0.00041219985228888544,0.0024053882997242234,,
44,11,VV,0.008613112158746114,0.0059134139873166375,,
45,11,VH,0.00010472058259181516,0.00154494380865431,,
46,42597,VV,0.03127464332400766,0.01670153919213056,,
47,42597,VH,0.00031980851675937475,0.0024200564587062495,,
48,12,VV,0.010917914104347087,0.006606741202432557,,
49,12,VH,9.939290082168233e-05,0.00156076015835725,,
50,42599,VV,0.020345591539366128,0.011618557110223639,,
51,42599,VH,0.0003106053055123194,0.002397978905061606,,
52,13,VV,0.014603258099476766,0.00890571842874909,,
53,13,VH,0.00011988012516355244,0.001543507092301799,,
54,42601,VV,0.021200834261777112,0.012378182522504536,,
55,42601,VH,0.00026529045286725596,0.0024117639059282915,,
56,14,VV,0.012439589633709659,0.008047074346846641,,
57,14,VH,0.00010206701067949347,0.0015529188557173222,,
58,42604,VV,0.03662592525975215,0.021071119271962535,,
59,42604,VH,0.000392135073050799,0.0024608806210010296,,
60,15,VV,0.020098570139484306,0.011477910043326064,,
61,15,VH,0.0004158933029599757,0.0016730782843517723,,
62,42606,VV,0.03343287370344144,0.01800066295162587,,
63,42606,VH,0.0004799597527193918,0.002472321108977706,,
